SubmissionDate,meta-instanceID,meta-timeStart,meta-timeEnd,Noise-audio,Noise-Noise_Measurement,Noise-Noise_Source,lat,lng,Noise-Location-Altitude,Noise-Location-Accuracy,Noise-Image,Noise-Comment,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-04-13T15:18:34.156Z,uuid:54086856-68f9-4e72-a009-74b792fbfa6c,2023-04-13T14:59:41.112+03:00,2023-04-13T15:00:09.608+03:00,1681387194105.wav,30,Other,0.083955,32.4940017,1140.7,4.4,,,uuid:54086856-68f9-4e72-a009-74b792fbfa6c,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:32.959Z,uuid:addd7643-50fd-4310-9ba2-e69a327e4099,2023-04-13T14:58:49.532+03:00,2023-04-13T14:59:13.805+03:00,1681387143152.wav,34,Other,0.0838683,32.4939901,1140.8,4.5,,,uuid:addd7643-50fd-4310-9ba2-e69a327e4099,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:31.878Z,uuid:8df8f6bd-0fc2-4f27-800e-8f4d967cb11b,2023-04-13T14:57:55.677+03:00,2023-04-13T14:58:23.443+03:00,1681387089286.wav,36,Other,0.0838617,32.4939767,1140.8,4.5,,,uuid:8df8f6bd-0fc2-4f27-800e-8f4d967cb11b,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:30.453Z,uuid:84177967-b6f1-4573-ac57-a7bbfb04b08c,2023-04-13T14:56:38.271+03:00,2023-04-13T14:57:35.072+03:00,1681387031797.wav,25,Other,0.08386,32.49397,1140.8,3.9,,,uuid:84177967-b6f1-4573-ac57-a7bbfb04b08c,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:29.277Z,uuid:6e533fd8-41db-4d39-acb7-95053af9b935,2023-04-13T14:56:00.891+03:00,2023-04-13T14:56:35.653+03:00,1681386976351.wav,22,Other,0.08386,32.4939676,1140.8,3.45,,,uuid:6e533fd8-41db-4d39-acb7-95053af9b935,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:28.187Z,uuid:63b1749b-7cfa-4f09-a8af-2359b7633e1d,2023-04-13T14:53:55.065+03:00,2023-04-13T14:55:58.117+03:00,1681386878494.wav,57,Other,0.0838798,32.4939629,1140.8,4.02,,,uuid:63b1749b-7cfa-4f09-a8af-2359b7633e1d,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:26.908Z,uuid:30bcd0b4-a197-45b3-ab8b-7acba4273624,2023-04-13T14:52:50.042+03:00,2023-04-13T14:53:41.463+03:00,1681386807517.wav,20,Other,0.0853757,32.4940509,1143.8,5.325,,,uuid:30bcd0b4-a197-45b3-ab8b-7acba4273624,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:25.850Z,uuid:7ae126d8-725e-452b-9e89-da0542de0e37,2023-04-13T14:52:01.454+03:00,2023-04-13T14:52:24.992+03:00,1681386733963.wav,26,Other,0.085567,32.4940589,1143.9,4.7,,,uuid:7ae126d8-725e-452b-9e89-da0542de0e37,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:24.751Z,uuid:e7cce772-5e8a-429e-948e-74c1ca97c922,2023-04-13T14:50:31.455+03:00,2023-04-13T14:51:02.708+03:00,1681386648699.wav,38,Other,0.0856135,32.4940677,1143.9,4.6,,,uuid:e7cce772-5e8a-429e-948e-74c1ca97c922,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
2023-04-13T15:18:23.518Z,uuid:74b9353f-94e2-47fd-9307-afd151febda2,2023-04-13T14:49:19.485+03:00,2023-04-13T14:49:43.436+03:00,1681386575133.wav,20,Other,0.0858993,32.4942365,1141.6,4.55,,,uuid:74b9353f-94e2-47fd-9307-afd151febda2,18,Isaac Ameru,1,1,,,collect:8sCqX1mPZ9g8GmdN,0,V2.9
