SubmissionDate,meta-instanceID,Noise-audio,Noise-Noise_Measurement,Noise-Noise_Source,lat,lng,Noise-Location-Altitude,Noise-Location-Accuracy,Noise-Image,Noise-Comment,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status
2021-04-10T15:40:34.913Z,uuid:96454e03-14af-4f13-93ca-67b73feb3dc3,1618068976573.wav,70,Generators,0.3125045,32.5860512,1144.69880584023,4.72,,,uuid:96454e03-14af-4f13-93ca-67b73feb3dc3,18,ltnabukeera,1,1,
2021-04-10T15:40:32.303Z,uuid:02cda303-018e-463a-abe0-45c862d25f4a,1618068274129.wav,60,Generators,0.3124423,32.5849072,1135.69552869535,4.98,,,uuid:02cda303-018e-463a-abe0-45c862d25f4a,18,ltnabukeera,1,1,
2021-04-10T15:21:42.506Z,uuid:56ecdb5a-1a07-407d-86d1-5e686a37aa56,1618067932807.wav,72,Bar-and-Restaurant,0.3117849,32.5842794,1165.592830303,5,,,uuid:56ecdb5a-1a07-407d-86d1-5e686a37aa56,18,ltnabukeera,1,1,
2021-04-10T15:18:23.727Z,uuid:e85f756a-5f4b-4e05-ae3a-4254de01cd43,1618067550272.wav,69,Bar-and-Restaurant,0.3121757,32.5849719,1222.61404770152,5,,,uuid:e85f756a-5f4b-4e05-ae3a-4254de01cd43,18,ltnabukeera,1,1,
2021-04-10T15:18:08.692Z,uuid:e8a61812-eb01-4769-90a1-d70c2df1e815,1618064384270.wav,47,Construction-site,0.3094954,32.6487567,1195.78538943858,4.86,,,uuid:e8a61812-eb01-4769-90a1-d70c2df1e815,18,ltnabukeera,1,1,
2021-04-10T15:17:52.836Z,uuid:67d3fca8-6ba3-4190-a73c-d6fc89ed10e0,1618064286225.wav,47,Construction-site,0.3094004,32.6485667,1198.77995744191,5,,,uuid:67d3fca8-6ba3-4190-a73c-d6fc89ed10e0,18,ltnabukeera,1,1,
2021-04-10T15:17:34.710Z,uuid:91d71c44-f69f-4e30-ac5b-f3263f0bb2a0,1618052769545.wav,56,Motor-vehicle-horn,0.3123692,32.582245,1176.0949659852,4.46,,,uuid:91d71c44-f69f-4e30-ac5b-f3263f0bb2a0,18,ltnabukeera,1,1,
2021-04-10T15:16:52.737Z,uuid:78d90db8-2218-4795-8224-647de64c6750,1617951767340.wav,72,Crowd-Noise,0.3292845,32.5709872,1200.73020955498,4.65,,,uuid:78d90db8-2218-4795-8224-647de64c6750,18,ltnabukeera,1,1,
2021-04-10T15:16:20.084Z,uuid:9e3b1e70-e981-4665-adaa-4805d1961440,1617951630540.wav,75,Bodaboda-Motorcycle Schools,0.3291615,32.571056,1198.40801947048,4.3,,,uuid:9e3b1e70-e981-4665-adaa-4805d1961440,18,ltnabukeera,1,1,
2021-04-10T15:15:49.634Z,uuid:198848a8-43a2-4810-85fa-dd7f0926c148,1617951479244.wav,74,Siren-Ambulance-Police,0.3314311,32.5748776,1195.84420257019,4.4,,,uuid:198848a8-43a2-4810-85fa-dd7f0926c148,18,ltnabukeera,1,1,
2021-04-10T15:15:22.332Z,uuid:7d162b35-2aa0-428e-8594-0d8f178bc015,1617951397704.wav,73,Siren-Ambulance-Police,0.3341126,32.5766807,1195.77520407889,4.58,,,uuid:7d162b35-2aa0-428e-8594-0d8f178bc015,18,ltnabukeera,1,1,
2021-04-10T15:14:53.040Z,uuid:e72f7d08-b6ff-48b6-b3b0-83da22b7879c,1617951261102.wav,74,Bodaboda-Motorcycle,0.3361867,32.57563,1195.85348938247,4.95,,,uuid:e72f7d08-b6ff-48b6-b3b0-83da22b7879c,18,ltnabukeera,1,1,
2021-04-09T07:17:14.914Z,uuid:43b594d1-65ac-46e4-b3c6-bd9806265eab,1617951134114.wav,75,Other Car-alarm,0.3412119,32.5738071,1218.8954162656,4.833,,,uuid:43b594d1-65ac-46e4-b3c6-bd9806265eab,18,ltnabukeera,1,1,
2021-04-09T07:16:42.621Z,uuid:0ee9ac30-7061-4a4d-959c-8626b6713c01,1617950895321.wav,73,Mobile-music,0.3489892,32.5767305,1165.47293413807,4.96,,,uuid:0ee9ac30-7061-4a4d-959c-8626b6713c01,18,ltnabukeera,1,1,
2021-04-08T16:25:20.072Z,uuid:af2ba3bb-f541-4b42-9877-1388849c671a,1617899075712.wav,57,Animal,0.332343,32.5706794,1232.82440734912,4.716,,,uuid:af2ba3bb-f541-4b42-9877-1388849c671a,18,ltnabukeera,1,1,
2021-04-08T16:24:29.436Z,uuid:477e82f4-77f1-4df1-9da3-275dc08da041,1617899025947.wav,58,Animal,0.3325197,32.5709963,1232.68775064339,4.94,,,uuid:477e82f4-77f1-4df1-9da3-275dc08da041,18,ltnabukeera,1,1,
2021-04-08T07:34:18.315Z,uuid:d513dade-e109-4276-9d77-21a11dcd2b0f,1617867190613.wav,54,Crowd-Noise,0.3312365,32.5704463,1222.33064307887,4.684,,,uuid:d513dade-e109-4276-9d77-21a11dcd2b0f,18,ltnabukeera,1,1,
2021-04-08T07:17:26.612Z,uuid:39dd31e8-53a6-4f53-8adf-c825eb4b4823,1617866183417.wav,62,Crowd-Noise,0.3305688,32.5707145,1224.01947343478,4.66,,,uuid:39dd31e8-53a6-4f53-8adf-c825eb4b4823,18,ltnabukeera,1,1,
2021-04-08T07:14:35.601Z,uuid:a1606917-452b-4990-80e3-06002ce6dadc,1617866038563.wav,68,Motor-vehicle-horn Crowd-Noise,0.329333,32.5709233,1225.41851815599,4.65,,,uuid:a1606917-452b-4990-80e3-06002ce6dadc,18,ltnabukeera,1,1,
2021-04-08T06:59:27.706Z,uuid:104352e1-ee77-4a0f-8062-84e7af4a5c20,1617865113748.wav,76,Motor-vehicle-horn,0.351725,32.5801283,1199.40763796888,3.9,,,uuid:104352e1-ee77-4a0f-8062-84e7af4a5c20,18,ltnabukeera,1,1,
2021-04-08T06:58:23.545Z,uuid:6bfbc5b3-142e-45ff-b5d4-ea37832cb862,1617865045188.wav,73,Bodaboda-Motorcycle,0.3548368,32.5779797,1202.43149281946,4.95,,,uuid:6bfbc5b3-142e-45ff-b5d4-ea37832cb862,18,ltnabukeera,1,1,
2021-04-08T06:55:41.292Z,uuid:bca604f1-dd26-423a-bc07-b5c67d385bd2,1617864912023.wav,73,car-OR-truck,0.36049,32.5757733,1192.09241962943,4.9,,,uuid:bca604f1-dd26-423a-bc07-b5c67d385bd2,18,ltnabukeera,1,1,
2021-04-08T06:52:31.649Z,uuid:d5dbf8ea-874f-4aa4-b597-3a0255a0a6b0,1617864552074.wav,73,Hawker-Vendor,0.3624569,32.576341,1190.97608810278,4.2,,,uuid:d5dbf8ea-874f-4aa4-b597-3a0255a0a6b0,18,ltnabukeera,1,1,
2021-04-08T06:52:25.261Z,uuid:515ac0e1-26e9-41a6-9a6d-fd226ecb551c,1617794261924.wav,68,Schools,0.3318457,32.5703421,1229.04069742348,5,,,uuid:515ac0e1-26e9-41a6-9a6d-fd226ecb551c,18,ltnabukeera,1,1,
2021-04-08T06:52:17.044Z,uuid:136911aa-72ef-4f51-885f-68fda032e3e0,1617794058116.wav,52,Crowd-Noise,0.332739,32.570232,1250.05707419749,4.783,,,uuid:136911aa-72ef-4f51-885f-68fda032e3e0,18,ltnabukeera,1,1,
2021-04-08T06:52:09.238Z,uuid:fd5d1351-fa42-479d-a007-8ccc1e756315,1617794017892.wav,56,Bodaboda-Motorcycle,0.3327686,32.570213,1246.46574708765,4.866,,,uuid:fd5d1351-fa42-479d-a007-8ccc1e756315,18,ltnabukeera,1,1,
2021-04-08T06:52:00.054Z,uuid:65eff99e-0d56-4ead-886f-d8f0e89157d8,1617793954960.wav,52,car-OR-truck,0.3328259,32.5702094,1248.24613394135,4.8,,,uuid:65eff99e-0d56-4ead-886f-d8f0e89157d8,18,ltnabukeera,1,1,
2021-04-08T06:51:52.757Z,uuid:09724a5d-47dd-456d-a644-d1c3291f3a8b,1617793886313.wav,53,Bodaboda-Motorcycle,0.3328701,32.5702037,1248.29390203333,5,,,uuid:09724a5d-47dd-456d-a644-d1c3291f3a8b,18,ltnabukeera,1,1,
2021-04-08T06:51:36.564Z,uuid:fa244183-e716-4b05-a8fd-26c9e82543c2,1617793692697.wav,77,Other,0.3329217,32.5691133,1248.74439341314,4.7,,,uuid:fa244183-e716-4b05-a8fd-26c9e82543c2,18,ltnabukeera,1,1,
2021-04-08T06:51:32.052Z,uuid:52bca84a-8253-40f3-96d4-013618fdcfa7,1617793631419.wav,48,Crowd-Noise,0.3329521,32.5690853,1247.40264086679,4.98,,,uuid:52bca84a-8253-40f3-96d4-013618fdcfa7,18,ltnabukeera,1,1,
2021-04-08T06:51:18.911Z,uuid:467b5548-7a7d-46c3-aaec-fdb87f3d0e48,1617793523276.wav,46,Crowd-Noise,0.3327073,32.5683805,1236.10662736892,4.9,,,uuid:467b5548-7a7d-46c3-aaec-fdb87f3d0e48,18,ltnabukeera,1,1,
2021-04-08T06:51:13.040Z,uuid:798240c1-a69a-4476-93c0-a30fec747735,1617793463579.wav,48,Crowd-Noise,0.3327307,32.5683328,1235.66750133805,4.82,,,uuid:798240c1-a69a-4476-93c0-a30fec747735,18,ltnabukeera,1,1,
2021-04-08T06:51:08.155Z,uuid:0318fa85-62dc-4c06-ad2a-d89edfd3178c,1617793350625.wav,63,Schools,0.3327796,32.56779,1232.57123167546,4.94,,,uuid:0318fa85-62dc-4c06-ad2a-d89edfd3178c,18,ltnabukeera,1,1,
2021-04-08T06:50:56.335Z,uuid:5ec603c2-4b6d-41f7-a679-fd4754fdc645,1617793286858.wav,58,Crowd-Noise,0.3326183,32.5676813,1246.74110825228,5,,,uuid:5ec603c2-4b6d-41f7-a679-fd4754fdc645,18,ltnabukeera,1,1,
2021-04-08T06:50:49.657Z,uuid:f2d2783c-147a-4947-9ffc-7cd816b8bae7,1617789389437.wav,53,Crowd-Noise,0.3330771,32.5670803,1207.49559364352,4.75,,,uuid:f2d2783c-147a-4947-9ffc-7cd816b8bae7,18,ltnabukeera,1,1,
2021-04-08T06:50:38.132Z,uuid:b3478efd-2569-40b0-b54a-82fc1ed43fd0,1617789316221.wav,45,Schools,0.3328655,32.5675617,1206.36851499656,4.683,,,uuid:b3478efd-2569-40b0-b54a-82fc1ed43fd0,18,ltnabukeera,1,1,
2021-04-08T06:50:19.973Z,uuid:8f6eeb28-04ea-4eb1-b401-1f6f2eeb8c70,1617789223870.wav,51,Crowd-Noise,0.332756,32.568446,1206.4407620145,4.6,,,uuid:8f6eeb28-04ea-4eb1-b401-1f6f2eeb8c70,18,ltnabukeera,1,1,
2021-04-08T06:50:13.174Z,uuid:dc45dfcf-0852-4454-b660-bc29b93d8484,1617789127055.wav,48,Crowd-Noise,0.3326755,32.5686369,1206.13899378976,4.45,,,uuid:dc45dfcf-0852-4454-b660-bc29b93d8484,18,ltnabukeera,1,1,
2021-04-07T11:34:20.883Z,uuid:6943a8f1-5495-4dbf-9ba4-ebd91e60b817,1617793758640.wav,37,Crowd-Noise,0.3329156,32.5695907,1246.68040335816,4.86,,,uuid:6943a8f1-5495-4dbf-9ba4-ebd91e60b817,18,ltnabukeera,1,1,
2021-04-07T11:04:06.554Z,uuid:25a98e60-200a-4209-a370-7a2f8121db7e,1617789054840.wav,49,Crowd-Noise,0.3327616,32.5686878,1207.60051473895,4.7,,,uuid:25a98e60-200a-4209-a370-7a2f8121db7e,18,ltnabukeera,1,1,
2021-04-07T11:03:53.315Z,uuid:d4b78572-78d8-461e-b789-e0f39586684e,1617788908681.wav,49,Crowd-Noise,0.3331583,32.5698217,1222.55071740227,4.6,,,uuid:d4b78572-78d8-461e-b789-e0f39586684e,18,ltnabukeera,1,1,
2021-04-06T18:10:06.766Z,uuid:e7d43e53-ea30-426b-a4d6-3a08494ce5a1,1617732554199.wav,60,car-OR-truck,0.3474665,32.5758774,1154.50323900362,4.62,,,uuid:e7d43e53-ea30-426b-a4d6-3a08494ce5a1,18,ltnabukeera,1,1,
2021-04-06T18:02:29.313Z,uuid:6f0c5ec8-c6e7-4743-92e8-7831dda9b3b0,1617732097399.wav,56,Crowd-Noise,0.347462,32.5741073,1185.96704777548,4.66,,,uuid:6f0c5ec8-c6e7-4743-92e8-7831dda9b3b0,18,ltnabukeera,1,1,
2021-04-06T17:57:55.804Z,uuid:f929730e-3dc0-4923-af19-1da38dc51883,1617731829881.wav,51,Motor-vehicle-horn,0.3474835,32.573427,1185.56127981573,4.4,,,uuid:f929730e-3dc0-4923-af19-1da38dc51883,18,ltnabukeera,1,1,
2021-04-03T07:19:20.333Z,uuid:858f5ad9-2e5e-43a3-85e3-2282ad6ac7a9,1617434281973.wav,50,Mobile-music,0.3624676,32.5762173,1196.60759579628,4.92,,,uuid:858f5ad9-2e5e-43a3-85e3-2282ad6ac7a9,18,ltnabukeera,1,1,
2021-04-03T07:19:17.536Z,uuid:7b08fbdb-4474-46e4-b9e1-d978023d7d18,1617189992821.wav,63,Schools,0.3320708,32.5703352,1226.62733565525,4.633,,,uuid:7b08fbdb-4474-46e4-b9e1-d978023d7d18,18,ltnabukeera,1,1,
